Muldrotha, the Gravetide — 2567 decks on EDHREC; brackets {'2': 1800, '3': 2567, '4': 1340, '5': 158, '1': 71}
themes: Reanimator (395), Graveyard (233), Mill (231), Self-Mill (178), Combo (102), Dredge (88), Midrange (83), Lands Matter (81), Control (78), Ramp (63), Toolbox (45), Good Stuff (33), Sacrifice (28), Aristocrats (27), Tokens (25), Birthing Pod (19), Clones (18), Landfall (17), Discard (14), Flashback (14), +1/+1 Counters (13), Commander Matters (12), Artifacts (11), Pillow Fort (10), Infect (9)

top 600 cards by inclusion (synergy in brackets):
   14% (-0.04)  Cyclonic Rift
   14% (+0.05)  Cephalid Coliseum
   14% (-0.00)  Talisman of Resilience
   14% (-0.05)  Llanowar Elves
   14% (+0.02)  Crop Rotation
   14% (+0.06)  Grisly Salvage
   14% (+0.06)  Insidious Roots
   14% (+0.10)  Sultai Ascendancy
   14% (+0.10)  Necromancy
   13% (+0.01)  Harrow
   13% (-0.16)  Nature's Lore
   13% (+0.06)  Golgari Signet
   13% (-0.23)  Rampant Growth
   13% (+0.09)  Displacer Kitten
   13% (+0.11)  Tamiyo, Collector of Tales
   13% (+0.11)  Nevinyrral's Disk
   13% (+0.09)  Sylvan Safekeeper
   13% (-0.14)  Beast Within
   12% (-0.02)  Talisman of Dominance
   12% (-0.14)  Reliquary Tower
   12% (+0.11)  Seal of Doom
   12% (+0.05)  Windfall
   12% (+0.09)  Binding the Old Gods
   12% (-0.03)  Talisman of Curiosity
   12% (+0.04)  Simic Signet
   12% (+0.08)  Golgari Grave-Troll
   12% (+0.07)  Phyrexian Altar
   12% (+0.09)  Mind Stone
   12% (+0.11)  Caustic Caterpillar
   12% (-0.03)  Bayou
   11% (+0.09)  Greater Good
   11% (+0.01)  Windswept Heath
   11% (-0.03)  Fellwar Stone
   11% (-0.12)  An Offer You Can't Refuse
   11% (+0.04)  Dimir Signet
   11% (-0.05)  Temple of Mystery
   11% (+0.04)  Cauldron of Essence
   11% (-0.03)  Dark Ritual
   11% (+0.08)  The Meathook Massacre
   11% (+0.06)  Waterlogged Grove
   11% (-0.03)  Tropical Island
   11% (-0.10)  Kodama's Reach
   11% (+0.04)  Crucible of Worlds
   11% (-0.03)  Underground Sea
   10% (+0.08)  Ghost Quarter
   10% (+0.03)  Singularity Rupture
   10% (+0.07)  Kenrith's Transformation
   10% (-0.14)  Three Visits
   10% (+0.07)  Imprisoned in the Moon
   10% (+0.06)  Fact or Fiction
   10% (+0.02)  Rise of the Dark Realms
   10% (+0.07)  Grist, the Hunger Tide
   10% (+0.00)  Wooded Foothills
   10% (-0.14)  Heroic Intervention
   10% (-0.13)  Putrefy
   10% (-0.01)  Twilight Mire
   10% (+0.03)  Jungle Hollow
   10% (-0.07)  Demonic Tutor
   10% (+0.07)  Witness Protection
    9% (-0.07)  Negate
    9% (+0.05)  Kishla Village
    9% (-0.04)  Flooded Grove
    9% (+0.07)  Glacial Chasm
    9% (-0.12)  Path of Ancestry
    9% (-0.01)  Flooded Strand
    9% (+0.06)  Gifts Ungiven
